provincia;poblacion;codigopostalid;lat;lon
Barcelona;Barcelona;8001;41,38424664;2,17634927
Barcelona;Barcelona;8002;41,38424664;2,17634927
Barcelona;Barcelona;8003;41,38424664;2,17634927
Barcelona;Barcelona;8004;41,38424664;2,17634927
Barcelona;Barcelona;8005;41,38424664;2,17634927
Barcelona;Barcelona;8006;41,38424664;2,17634927
Barcelona;Barcelona;8007;41,38424664;2,17634927
Barcelona;Barcelona;8008;41,38424664;2,17634927
Barcelona;Barcelona;8009;41,38424664;2,17634927
Barcelona;Barcelona;8010;41,38424664;2,17634927
Barcelona;Barcelona;8011;41,38424664;2,17634927
Barcelona;Barcelona;8012;41,38424664;2,17634927
Barcelona;Barcelona;8013;41,38424664;2,17634927
Barcelona;Barcelona;8014;41,38424664;2,17634927
Barcelona;Barcelona;8015;41,38424664;2,17634927
Barcelona;Barcelona;8016;41,38424664;2,17634927
Barcelona;Barcelona;8017;41,38424664;2,17634927
Barcelona;Barcelona;8018;41,38424664;2,17634927
Barcelona;Barcelona;8019;41,38424664;2,17634927
Barcelona;Barcelona;8020;41,38424664;2,17634927
Barcelona;Barcelona;8021;41,38424664;2,17634927
Barcelona;Barcelona;8022;41,38424664;2,17634927
Barcelona;Barcelona;8023;41,38424664;2,17634927
Barcelona;Barcelona;8024;41,38424664;2,17634927
Barcelona;Barcelona;8025;41,38424664;2,17634927
Barcelona;Barcelona;8026;41,38424664;2,17634927
Barcelona;Barcelona;8027;41,38424664;2,17634927
Barcelona;Barcelona;8028;41,38424664;2,17634927
Barcelona;Barcelona;8029;41,38424664;2,17634927
Barcelona;Barcelona;8030;41,38424664;2,17634927
Barcelona;Barcelona;8031;41,38424664;2,17634927
Barcelona;Barcelona;8032;41,38424664;2,17634927
Barcelona;Barcelona;8033;41,38424664;2,17634927
Barcelona;Barcelona;8034;41,38424664;2,17634927
Barcelona;Barcelona;8035;41,38424664;2,17634927
Barcelona;Barcelona;8036;41,38424664;2,17634927
