tipo,lat,lon,name,address,location
restaurant,41.3816867,2.0766452,Ateneu de Sant Just Desvern,NO STREET 9999,Barcelona
restaurant,41.3836428,2.1583028,Amaltea,NO STREET 9999,Barcelona
restaurant,41.3895184,2.1621769,Hanibishi,NO STREET 9999,Barcelona
restaurant,41.3899967,2.1318367,Moncho's House,NO STREET 9999,Barcelona
restaurant,41.3836716,2.1806392,Taller de Tapas,l'Argenteria 51,Barcelona
restaurant,41.3942273,2.109899,El Jardí de l'Abadessa,NO STREET 9999,Barcelona
restaurant,41.3975532,2.1230797,Bar Tomás,NO STREET 9999,Barcelona
restaurant,41.4523498,2.2087628,La Tagliatella,Carrer de Vistalegre 4,Barcelona
restaurant,41.4540651,2.2064721,Pizzeria Pulcinella,Carrer del Doctor Ferran 2,Barcelona
restaurant,41.3817618,2.1834151,Can Paixano,Carrer de la Reina Cristina 7,Barcelona
restaurant,41.3949813,2.1916505,La Brasería,Pere IV 36,Barcelona
restaurant,41.3934539,2.1881434,Palacio de China,NO STREET 9999,Barcelona
restaurant,41.447858,2.1319638,Restaurant Can Valldaura,NO STREET 9999,Barcelona
restaurant,41.4021663,2.1623411,Cal Boter,NO STREET 9999,Barcelona
restaurant,41.3767803,2.1365656,Fenicia,NO STREET 9999,Barcelona
restaurant,41.3771427,2.1369905,Hoja Verde,NO STREET 9999,Barcelona
restaurant,41.3770424,2.1368715,La Maria del Rocxi,NO STREET 9999,Barcelona
restaurant,41.3769979,2.1368104,Simbad - Feteria,Passeig Sant Antoni 15,Barcelona
restaurant,41.3768914,2.1366906,CaFeniciana,NO STREET 9999,Barcelona
restaurant,41.3769402,2.1367319,El jardi de Sants,NO STREET 9999,Barcelona
restaurant,41.3772237,2.1370878,Calero's,NO STREET 9999,Barcelona
restaurant,41.3760228,2.1358001,Ciutat Comtal,NO STREET 9999,Barcelona
restaurant,41.4020495,2.1621618,Cal Robert,NO STREET 9999,Barcelona
restaurant,41.4019352,2.162002,Panet Farcit,NO STREET 9999,Barcelona
restaurant,41.4020155,2.1628862,NO NAME,NO STREET 9999,Barcelona
restaurant,41.4421429,2.0673026,A 'FEIRA,NO STREET 9999,Barcelona
restaurant,41.4050064,2.1746553,Origen 99%,Avenida Gaudí 8,Barcelona
restaurant,41.406511,2.1742446,La Piazzenza,"Avinguda Gaudí 27,29",Barcelona
restaurant,41.408261,2.174561,Tapes Gaudí,NO STREET 44,Barcelona
restaurant,41.4086056,2.1745607,Aladdin,NO STREET 9999,Barcelona
restaurant,41.4050002,2.1743223,Babilonia,Avenida Gaudí 3,Barcelona
restaurant,41.3742363,2.1522045,Restaurant Buffet,NO STREET 9999,Barcelona
restaurant,41.4477197,2.1426389,Asador Casa Juaco,NO STREET 9999,Barcelona
restaurant,41.386132,2.174026,Cerveceria Taller de tapas,NO STREET 9999,Barcelona
restaurant,41.442276,2.2165561,Can Manel,NO STREET 9999,Barcelona
restaurant,41.3823086,2.1765833,Ferran 59,Carrer de Ferran 59,Barcelona
restaurant,41.3824742,2.1815472,Vila Viniteca,Carrer dels Agullers 9,Barcelona
restaurant,41.3791435,2.1747253,Centro Galego,Rambla Caputxins 35,Barcelona
restaurant,41.40537,2.1934837,Restaurante UN-ZA,C Llacuna 142-144,Barcelona
restaurant,41.4035018,2.1977649,Anormalfood,NO STREET 9999,Barcelona
restaurant,41.402858,2.1987158,braseria xorus,NO STREET 105,Barcelona
restaurant,41.4027269,2.1989008,La broqueta,NO STREET 9999,Barcelona
restaurant,41.4027071,2.1989239,Sitar,NO STREET 101,Barcelona
restaurant,41.3962523,2.1830333,Tierra da Lua,NO STREET 9999,Barcelona
restaurant,41.4225659,2.2115743,Ca la tata,NO STREET 9999,Barcelona
restaurant,41.381736,2.1724342,Sukaldari,NO STREET 9999,Barcelona
restaurant,41.3809869,2.1731696,Aromas de Instambul,La Rambla 69,Barcelona
restaurant,41.3796645,2.1743205,Kubik Restaurant,La Rambla 45,Barcelona
restaurant,41.3812802,2.1728591,Genové 1911,NO STREET 9999,Barcelona
restaurant,41.3812444,2.1728937,Bello Italy,NO STREET 9999,Barcelona
restaurant,41.3813446,2.1728162,Egipte,NO STREET 9999,Barcelona
restaurant,41.383726,2.1709656,cent111onze,La ramblas 111,Barcelona
restaurant,41.3843881,2.170482,La Poma,Rambla del Estudis 119,Barcelona
restaurant,41.382919,2.170821,Los Toreros,NO STREET 9999,Barcelona
restaurant,41.3832659,2.1701667,Organic,NO STREET 9999,Barcelona
restaurant,41.3832611,2.170504,Bar Lobo,Carrer del Pintor Fortuny 3,Barcelona
restaurant,41.3831077,2.1703808,Sagarra,NO STREET 9999,Barcelona
restaurant,41.3753402,2.1894951,Cafeteria Restaurant Buenas Migas *Plaça del Mar,Pl Mar 1,Barcelona
restaurant,41.3753694,2.1896344,Restaurant Kaiku,Plaça del Mar 1-4,Barcelona
restaurant,41.4020177,2.1457393,Mei Hua,NO STREET 9999,Barcelona
restaurant,41.4034165,2.1477911,Pizzeria Fontana,NO STREET 9999,Barcelona
restaurant,41.3815757,2.1734408,Juicy Jones,Carrer del Cardenal Casañas 4,Barcelona
restaurant,41.3848666,2.170138,Pastafiore,NO STREET 9999,Barcelona
restaurant,41.3849119,2.1701056,Cerveseria,NO STREET 9999,Barcelona
restaurant,41.3851596,2.1698748,Nuria,NO STREET 9999,Barcelona
restaurant,41.385205,2.1705984,Pizza Marzano,NO STREET 9999,Barcelona
restaurant,41.3884807,2.1593618,Cinc Sentits,NO STREET 9999,Barcelona
restaurant,41.3859551,2.1707466,Hard Rock Cafe,NO STREET 9999,Barcelona
restaurant,41.3881068,2.1669465,La Tramoia,Gran Via de les Corts Catalanes 624,Barcelona
restaurant,41.3879364,2.167454,Happy,NO STREET 9999,Barcelona
restaurant,41.387684,2.1683456,Trobadour,Rambla de Catalunya 2-4,Barcelona
restaurant,41.3916926,2.1660167,Tapa Tapa,NO STREET 9999,Barcelona
restaurant,41.390324,2.1676904,Davinas,Passeig de Gràcia 28,Barcelona
restaurant,41.3901575,2.1678809,Qu Qu,Passeig de Gràcia 24,Barcelona
restaurant,41.3910227,2.1654449,Tenorio,Carrer del Consell de Cent 349-351,Barcelona
restaurant,41.3888,2.16689,Ciudad Condal,Rambla de Catalunya 18,Barcelona
restaurant,41.388992,2.1660252,el Racó,Rambla de Catalunya 25,Barcelona
restaurant,41.3902964,2.1640976,Taller de Tapas,NO STREET 9999,Barcelona
restaurant,41.3976224,2.1807778,Bar Geminis,Sardenya 173,Barcelona
restaurant,41.3879447,2.2020882,NO NAME,NO STREET 9999,Barcelona
restaurant,41.3804529,2.1749778,Les 15 Nits Bar,Passatge de Madoz 3-5,Barcelona
restaurant,41.3891731,2.1558513,L'Atzavara,NO STREET 9999,Barcelona
restaurant,41.3898043,2.1571237,Cubeliña,Carrer d'Aribau 91,Barcelona
restaurant,41.3895557,2.1568298,Freeway,Carrer de Mallorca 191,Barcelona
restaurant,41.3895408,2.1553488,Churreria,NO STREET 9999,Barcelona
restaurant,41.3894442,2.1554485,Taifeng,NO STREET 9999,Barcelona
restaurant,41.446872,2.0751284,Rancho El Paso,NO STREET 9999,Barcelona
restaurant,41.3803406,2.1747194,La Crema Canela,Passatge de Madoz 6,Barcelona
restaurant,41.3911199,2.170955,Patagonia Beef & Wine,Gran Via de les Corts Catalanes 660,Barcelona
restaurant,41.3751707,2.168607,La Farandula,NO STREET 9999,Barcelona
restaurant,41.3751774,2.1684833,Bar Cerveceria Pepe 2,NO STREET 9999,Barcelona
restaurant,41.3761367,2.1686585,Caleuche,NO STREET 9999,Barcelona
restaurant,41.3835738,2.1710948,Luzia,Carrer del Pintor Fortuny 1,Barcelona
restaurant,41.4154987,2.2296372,La Barca d'Adrià,NO STREET 9999,Barcelona
restaurant,41.4445741,2.0667015,Catalan,NO STREET 9999,Barcelona
restaurant,41.4448145,2.0615995,La Casa Blava,NO STREET 9999,Barcelona
restaurant,41.3904171,2.1136939,Restaurant Vertex,NO STREET 9999,Barcelona
restaurant,41.3908693,2.1131647,Casa de Cantabria,NO STREET 9999,Barcelona
restaurant,41.4387207,2.2175976,Bar Marisquería La Virgen del Rocío,carrer d'Europa 19,Barcelona
restaurant,41.3813599,2.1763298,NO NAME,Carrer d'Avinyó 9,Barcelona
restaurant,41.4069321,2.1784908,Pizzeria Vilaret,Passatge de Vilaret 54,Barcelona
restaurant,41.4007425,2.1591008,La Vietnamita,c/ Torrent de l'Olla 78,Barcelona
restaurant,41.4457382,2.1772349,NO NAME,NO STREET 9999,Barcelona
restaurant,41.3611496,2.077528,Marisquería Mare Nostrum,Ramoneda 34,Barcelona
restaurant,41.3758,2.1874945,Barceloneta,Carrer de l'Escar 22,Barcelona
restaurant,41.3884287,2.2011322,La Fonda del Port Olimpic,Moll del Gregal 7-8-9,Barcelona
restaurant,41.3899944,2.1736399,L'altra Llosa,NO STREET 9999,Barcelona
restaurant,41.3996711,2.1572503,Kibuka,carrer de Goya 9,Barcelona
restaurant,41.3849254,2.1766628,Taverna del Bisbe,Avinguda de la Catedral 6,Barcelona
restaurant,41.4052242,2.1882154,La Mola,NO STREET 9999,Barcelona
restaurant,41.3796584,2.1765082,Los Caracoles,Carrer dels Escudellers 14,Barcelona
restaurant,41.3711379,2.1724826,NO NAME,NO STREET 9999,Barcelona
restaurant,41.3864545,2.1666834,Macchina,NO STREET 9999,Barcelona
restaurant,41.3740074,2.1691478,Elche,NO STREET 9999,Barcelona
restaurant,41.4559598,2.2565509,Can Pic's,NO STREET 9999,Barcelona
restaurant,41.453471,2.2517998,la sita,NO STREET 9999,Barcelona
restaurant,41.4074238,2.1585521,Casa Vall,Plaça de Rovira i Trias 2,Barcelona
restaurant,41.381948,2.1717912,Pinotxo bar,NO STREET 9999,Barcelona
restaurant,41.3760061,2.15537,Inopia,NO STREET 9999,Barcelona
restaurant,41.3833615,2.1686848,Dos palillos,NO STREET 9999,Barcelona
restaurant,41.3841976,2.1748665,Bilbao Berria,Plaça Nova 3,Barcelona
restaurant,41.3908686,2.1674705,Tapas 24,Carrer de la Diputació 269,Barcelona
restaurant,41.3839345,2.1833856,Cal PEP,NO STREET 9999,Barcelona
restaurant,41.3822633,2.1834209,7 Portes,Passeig d'Isabel II 14,Barcelona
restaurant,41.3795214,2.1753958,Cerveceria,NO STREET 9999,Barcelona
restaurant,41.3845086,2.1816748,El Xampanyet,Carrer de Montcada 22,Barcelona
restaurant,41.3739942,2.1655692,Quimet i Quimet,Carrer del Poeta Cabanyes 25,Barcelona
restaurant,41.3522874,2.0857445,Restaurant Río Miño,NO STREET 9999,Barcelona
restaurant,41.3528752,2.0853531,La terraza,Carrer San Ferran 25,Barcelona
restaurant,41.3512446,2.0857555,La cuina sana,NO STREET 9999,Barcelona
restaurant,41.352936,2.085787,L'anfora,Passeig Ferrocarrils Catalans 186,Barcelona
restaurant,41.3910406,2.1510887,Taberna Maitea,Carrer de Casanova 155,Barcelona
restaurant,41.4542684,2.2071806,Restaurant Isalba,Carrer de Sant Jeroni 33,Barcelona
restaurant,41.3527829,2.0881909,Restaurante Wasabi,NO STREET 9999,Barcelona
restaurant,41.387064,2.1670471,Fresc Co,Ronda Universtat 29,Barcelona
restaurant,41.3819896,2.1696228,Dos Trece,Carrer del Carme 40,Barcelona
restaurant,41.4479278,2.2194465,Restaurante Rehman,Carrer del Mas Mari 103,Barcelona
restaurant,41.3512244,2.0855221,Public,NO STREET 9999,Barcelona
restaurant,41.4063985,2.1959205,Culleres,Carrer de Bolívia 138,Barcelona
restaurant,41.3510781,2.0832613,Wok Rei,NO STREET 9999,Barcelona
restaurant,41.3511707,2.0853802,Mondo Lirondo,NO STREET 9999,Barcelona
restaurant,41.3480207,2.0782828,Viena,NO STREET 9999,Barcelona
restaurant,41.3477147,2.078948,Muerde la pasta,NO STREET 9999,Barcelona
restaurant,41.3587078,2.0955786,El Celler del Museu,NO STREET 9999,Barcelona
restaurant,41.455484,2.2085643,NO NAME,NO STREET 9999,Barcelona
restaurant,41.3925451,2.1558968,El Filete Ruso,Enric Granados 95,Barcelona
restaurant,41.3948006,2.1940578,Mannà,NO STREET 9999,Barcelona
restaurant,41.4145198,2.1386657,Kaffe Bar,NO STREET 9999,Barcelona
restaurant,41.4144551,2.138515,NO NAME,NO STREET 9999,Barcelona
restaurant,41.352788,2.084875,Terra gourmet,Passeig dels Ferrocarrils Catalans 182,Barcelona
restaurant,41.350964,2.089284,La Trattoria,Avinguda Maresme 9999,Barcelona
