,CA,provincia,poblacion,CP,lat,lon
0,Cataluña,Barcelona,Barcelona,8001,"41,38424664","2,17634927"
1,Cataluña,Barcelona,Barcelona,8002,"41,38424664","2,17634927"
2,Cataluña,Barcelona,Barcelona,8003,"41,38424664","2,17634927"
3,Cataluña,Barcelona,Barcelona,8004,"41,38424664","2,17634927"
4,Cataluña,Barcelona,Barcelona,8005,"41,38424664","2,17634927"
5,Cataluña,Barcelona,Barcelona,8006,"41,38424664","2,17634927"
6,Cataluña,Barcelona,Barcelona,8007,"41,38424664","2,17634927"
7,Cataluña,Barcelona,Barcelona,8008,"41,38424664","2,17634927"
8,Cataluña,Barcelona,Barcelona,8009,"41,38424664","2,17634927"
9,Cataluña,Barcelona,Barcelona,8010,"41,38424664","2,17634927"
10,Cataluña,Barcelona,Barcelona,8011,"41,38424664","2,17634927"
11,Cataluña,Barcelona,Barcelona,8012,"41,38424664","2,17634927"
12,Cataluña,Barcelona,Barcelona,8013,"41,38424664","2,17634927"
13,Cataluña,Barcelona,Barcelona,8014,"41,38424664","2,17634927"
14,Cataluña,Barcelona,Barcelona,8015,"41,38424664","2,17634927"
15,Cataluña,Barcelona,Barcelona,8016,"41,38424664","2,17634927"
16,Cataluña,Barcelona,Barcelona,8017,"41,38424664","2,17634927"
17,Cataluña,Barcelona,Barcelona,8018,"41,38424664","2,17634927"
18,Cataluña,Barcelona,Barcelona,8019,"41,38424664","2,17634927"
19,Cataluña,Barcelona,Barcelona,8020,"41,38424664","2,17634927"
20,Cataluña,Barcelona,Barcelona,8021,"41,38424664","2,17634927"
21,Cataluña,Barcelona,Barcelona,8022,"41,38424664","2,17634927"
22,Cataluña,Barcelona,Barcelona,8023,"41,38424664","2,17634927"
23,Cataluña,Barcelona,Barcelona,8024,"41,38424664","2,17634927"
24,Cataluña,Barcelona,Barcelona,8025,"41,38424664","2,17634927"
25,Cataluña,Barcelona,Barcelona,8026,"41,38424664","2,17634927"
26,Cataluña,Barcelona,Barcelona,8027,"41,38424664","2,17634927"
27,Cataluña,Barcelona,Barcelona,8028,"41,38424664","2,17634927"
28,Cataluña,Barcelona,Barcelona,8029,"41,38424664","2,17634927"
29,Cataluña,Barcelona,Barcelona,8030,"41,38424664","2,17634927"
30,Cataluña,Barcelona,Barcelona,8031,"41,38424664","2,17634927"
31,Cataluña,Barcelona,Barcelona,8032,"41,38424664","2,17634927"
32,Cataluña,Barcelona,Barcelona,8033,"41,38424664","2,17634927"
33,Cataluña,Barcelona,Barcelona,8034,"41,38424664","2,17634927"
34,Cataluña,Barcelona,Barcelona,8035,"41,38424664","2,17634927"
35,Cataluña,Barcelona,Barcelona,8036,"41,38424664","2,17634927"
36,Cataluña,Barcelona,Barcelona,8037,"41,38424664","2,17634927"
37,Cataluña,Barcelona,Barcelona,8038,"41,38424664","2,17634927"
38,Cataluña,Barcelona,Barcelona,8039,"41,38424664","2,17634927"
39,Cataluña,Barcelona,Barcelona,8040,"41,38424664","2,17634927"
40,Cataluña,Barcelona,Barcelona,8041,"41,38424664","2,17634927"
41,Cataluña,Barcelona,Barcelona,8042,"41,38424664","2,17634927"
42,Castilla y León,Burgos,Burgos,9001,"42,34113004","-3,70419805"
43,Castilla y León,Burgos,Burgos,9002,"42,34113004","-3,70419805"
44,Castilla y León,Burgos,Burgos,9003,"42,34113004","-3,70419805"
45,Castilla y León,Burgos,Burgos,9004,"42,34113004","-3,70419805"
46,Castilla y León,Burgos,Burgos,9005,"42,34113004","-3,70419805"
47,Castilla y León,Burgos,Burgos,9006,"42,34113004","-3,70419805"
48,Castilla y León,Burgos,Burgos,9007,"42,34113004","-3,70419805"
49,Castilla y León,Burgos,Burgos,9192,"42,34113004","-3,70419805"
50,Castilla y León,Burgos,Burgos,9193,"42,34113004","-3,70419805"
51,Castilla y León,Burgos,Burgos,9199,"42,34113004","-3,70419805"
52,Galicia,A Coruña,A Coruña,15001,"43,37126587","-8,395501936"
53,Galicia,A Coruña,A Coruña,15002,"43,37126587","-8,395501936"
54,Galicia,A Coruña,A Coruña,15003,"43,37126587","-8,395501936"
55,Galicia,A Coruña,A Coruña,15004,"43,37126587","-8,395501936"
56,Galicia,A Coruña,A Coruña,15005,"43,37126587","-8,395501936"
57,Galicia,A Coruña,A Coruña,15006,"43,37126587","-8,395501936"
58,Galicia,A Coruña,A Coruña,15007,"43,37126587","-8,395501936"
59,Galicia,A Coruña,A Coruña,15008,"43,37126587","-8,395501936"
60,Galicia,A Coruña,A Coruña,15009,"43,37126587","-8,395501936"
61,Galicia,A Coruña,A Coruña,15010,"43,37126587","-8,395501936"
62,Galicia,A Coruña,A Coruña,15011,"43,37126587","-8,395501936"
63,Galicia,A Coruña,A Coruña,15170,"43,37126587","-8,395501936"
64,Galicia,A Coruña,A Coruña,15190,"43,37126587","-8,395501936"
65,Galicia,A Coruña,A Coruña,15191,"43,37126587","-8,395501936"
66,Galicia,A Coruña,A Coruña,15192,"43,37126587","-8,395501936"
67,Castilla la Mancha,Cuenca,Cuenca,16001,"40,07653762","-2,13152306"
68,Castilla la Mancha,Cuenca,Cuenca,16002,"40,07653762","-2,13152306"
69,Castilla la Mancha,Cuenca,Cuenca,16003,"40,07653762","-2,13152306"
70,Castilla la Mancha,Cuenca,Cuenca,16004,"40,07653762","-2,13152306"
71,Castilla la Mancha,Cuenca,Cuenca,16146,"40,07653762","-2,13152306"
