,TIPO,SECTOR,LATITUD,LONGITUD,NOMBRE LOCAL,DIRECCION,CIUDAD,COMUNIDAD AUTONOMA,PROVINCIA,USUARIO DE EMPRESA,EMAIL,TELEFONO,ACUM VERDE,ACUM AMARILLO,ACUM ROJO,VALORACIONES,CERTIFICACION,IMAGEN
0,restaurante,hostelería,41.3816867,2.0766452,Ateneu de Sant Just Desvern,,Barcelona,Cataluña,Barcelona,,,,,,,,,
1,restaurante,hostelería,41.3836428,2.1583028,Amaltea,,Barcelona,Cataluña,Barcelona,,,,,,,,,
2,restaurante,hostelería,41.3895184,2.1621769,Hanibishi,,Barcelona,Cataluña,Barcelona,,,,,,,,,
3,restaurante,hostelería,41.3899967,2.1318367,Moncho's House,,Barcelona,Cataluña,Barcelona,,,,,,,,,
4,restaurante,hostelería,41.3836716,2.1806392,Taller de Tapas,l'Argenteria 51,Barcelona,Cataluña,Barcelona,,,,,,,,,
5,restaurante,hostelería,41.3942273,2.109899,El Jardí de l'Abadessa,,Barcelona,Cataluña,Barcelona,,,,,,,,,
6,restaurante,hostelería,41.3975532,2.1230797,Bar Tomás,,Barcelona,Cataluña,Barcelona,,,,,,,,,
7,restaurante,hostelería,41.4523498,2.2087628,La Tagliatella,Carrer de Vistalegre 4,Barcelona,Cataluña,Barcelona,,,,,,,,,
8,restaurante,hostelería,41.4540651,2.2064721,Pizzeria Pulcinella,Carrer del Doctor Ferran 2,Barcelona,Cataluña,Barcelona,,,,,,,,,
9,restaurante,hostelería,41.3817618,2.1834151,Can Paixano,Carrer de la Reina Cristina 7,Barcelona,Cataluña,Barcelona,,,,,,,,,
10,restaurante,hostelería,41.3949813,2.1916505,La Brasería,Pere IV 36,Barcelona,Cataluña,Barcelona,,,,,,,,,
11,restaurante,hostelería,41.3934539,2.1881434,Palacio de China,,Barcelona,Cataluña,Barcelona,,,,,,,,,
12,restaurante,hostelería,41.447858,2.1319638,Restaurant Can Valldaura,,Barcelona,Cataluña,Barcelona,,,,,,,,,
13,restaurante,hostelería,41.4021663,2.1623411,Cal Boter,,Barcelona,Cataluña,Barcelona,,,,,,,,,
14,restaurante,hostelería,41.3767803,2.1365656,Fenicia,,Barcelona,Cataluña,Barcelona,,,,,,,,,
15,restaurante,hostelería,41.3771427,2.1369905,Hoja Verde,,Barcelona,Cataluña,Barcelona,,,,,,,,,
16,restaurante,hostelería,41.3770424,2.1368715,La Maria del Rocxi,,Barcelona,Cataluña,Barcelona,,,,,,,,,
17,restaurante,hostelería,41.3769979,2.1368104,Simbad - Feteria,Passeig Sant Antoni 15,Barcelona,Cataluña,Barcelona,,,,,,,,,
18,restaurante,hostelería,41.3768914,2.1366906,CaFeniciana,,Barcelona,Cataluña,Barcelona,,,,,,,,,
19,restaurante,hostelería,41.3769402,2.1367319,El jardi de Sants,,Barcelona,Cataluña,Barcelona,,,,,,,,,
20,restaurante,hostelería,41.3772237,2.1370878,Calero's,,Barcelona,Cataluña,Barcelona,,,,,,,,,
21,restaurante,hostelería,41.3760228,2.1358001,Ciutat Comtal,,Barcelona,Cataluña,Barcelona,,,,,,,,,
22,restaurante,hostelería,41.4020495,2.1621618,Cal Robert,,Barcelona,Cataluña,Barcelona,,,,,,,,,
23,restaurante,hostelería,41.4019352,2.162002,Panet Farcit,,Barcelona,Cataluña,Barcelona,,,,,,,,,
24,restaurante,hostelería,41.4020155,2.1628862,NO NAME,,Barcelona,Cataluña,Barcelona,,,,,,,,,
25,restaurante,hostelería,41.4421429,2.0673026,A 'FEIRA,,Barcelona,Cataluña,Barcelona,,,,,,,,,
26,restaurante,hostelería,41.4050064,2.1746553,Origen 99%,Avenida Gaudí 8,Barcelona,Cataluña,Barcelona,,,,,,,,,
27,restaurante,hostelería,41.406511,2.1742446,La Piazzenza,"Avinguda Gaudí 27,29",Barcelona,Cataluña,Barcelona,,,,,,,,,
28,restaurante,hostelería,41.408261,2.174561,Tapes Gaudí,NO STREET 44,Barcelona,Cataluña,Barcelona,,,,,,,,,
29,restaurante,hostelería,41.4086056,2.1745607,Aladdin,,Barcelona,Cataluña,Barcelona,,,,,,,,,
30,restaurante,hostelería,41.4050002,2.1743223,Babilonia,Avenida Gaudí 3,Barcelona,Cataluña,Barcelona,,,,,,,,,
31,restaurante,hostelería,41.3742363,2.1522045,Restaurant Buffet,,Barcelona,Cataluña,Barcelona,,,,,,,,,
32,restaurante,hostelería,41.4477197,2.1426389,Asador Casa Juaco,,Barcelona,Cataluña,Barcelona,,,,,,,,,
33,restaurante,hostelería,41.386132,2.174026,Cerveceria Taller de tapas,,Barcelona,Cataluña,Barcelona,,,,,,,,,
34,restaurante,hostelería,41.442276,2.2165561,Can Manel,,Barcelona,Cataluña,Barcelona,,,,,,,,,
35,restaurante,hostelería,41.3823086,2.1765833,Ferran 59,Carrer de Ferran 59,Barcelona,Cataluña,Barcelona,,,,,,,,,
36,restaurante,hostelería,41.3824742,2.1815472,Vila Viniteca,Carrer dels Agullers 9,Barcelona,Cataluña,Barcelona,,,,,,,,,
37,restaurante,hostelería,41.3791435,2.1747253,Centro Galego,Rambla Caputxins 35,Barcelona,Cataluña,Barcelona,,,,,,,,,
38,restaurante,hostelería,41.40537,2.1934837,Restaurante UN-ZA,C Llacuna 142-144,Barcelona,Cataluña,Barcelona,,,,,,,,,
39,restaurante,hostelería,41.4035018,2.1977649,Anormalfood,,Barcelona,Cataluña,Barcelona,,,,,,,,,
40,restaurante,hostelería,41.402858,2.1987158,braseria xorus,NO STREET 105,Barcelona,Cataluña,Barcelona,,,,,,,,,
41,restaurante,hostelería,41.4027269,2.1989008,La broqueta,,Barcelona,Cataluña,Barcelona,,,,,,,,,
42,restaurante,hostelería,41.4027071,2.1989239,Sitar,NO STREET 101,Barcelona,Cataluña,Barcelona,,,,,,,,,
43,restaurante,hostelería,41.3962523,2.1830333,Tierra da Lua,,Barcelona,Cataluña,Barcelona,,,,,,,,,
44,restaurante,hostelería,41.4225659,2.2115743,Ca la tata,,Barcelona,Cataluña,Barcelona,,,,,,,,,
45,restaurante,hostelería,41.381736,2.1724342,Sukaldari,,Barcelona,Cataluña,Barcelona,,,,,,,,,
46,restaurante,hostelería,41.3809869,2.1731696,Aromas de Instambul,La Rambla 69,Barcelona,Cataluña,Barcelona,,,,,,,,,
47,restaurante,hostelería,41.3796645,2.1743205,Kubik Restaurant,La Rambla 45,Barcelona,Cataluña,Barcelona,,,,,,,,,
