;CA;PROVINCIA;LATITUD;LONGITUD;NOMBRE_LOCAL;DIRECCION;CIUDAD;TIPO;SECTOR;CONTACTO_EMPRESA;EMAIL;TELEFONO;FAKE_ACCESS;ACUM_VERDE;ACUM_AMARILLO;ACUM_ROJO;VALORACIONES;CERTIFICACION;IMAGEN
19128;Andalucía;Sevilla;37,3829205;-5,9723172;100 Montaditos;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOvgregYOMPN4vjhaBLfS9d1V7F_kxwLXaNDWR_
15023;País Vasco;Vizcaya;43,3514117;-3,0120457;Ajuria;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPz1PsYp0NdYqLDbMJeR5mG4WTn7qPFQ07D0Pks
19853;Andalucía;Sevilla;37,3904153;-5,9912639;Al Cartuchito;;Sevilla;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN11GYMY-YBI7OKxpIc1BWR1Au9sQlQ-ov4akDX
16826;Valencia;Valencia;39,470892;-0,3830845;Aladino;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipN4XbH6Z-B3fo4DHGTlUcDUA1u3aLWI2bQLsfj5
20951;Andalucía;Sevilla;37,396932;-5,9217397;Alameda;;Sevilla;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOI7psj_d5ztV6mfQ_lMaY3u47yAN03HYU4xm2E
16277;País Vasco;Vizcaya;43,276716;-2,9226366;Alcoba;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipOrIEBAA6MLvH3BpAtLopIzua3MyotXRQJ95ILe
15026;País Vasco;Vizcaya;43,2591308;-2,9370779;Alhondegi;;Bilbao;bar;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPdz_eJs5loCwngtofgnCzZpFCI08RR-fjfDYgc
1;Cataluña;Barcelona;41,3836428;2,1583028;Amaltea;;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-
16124;País Vasco;Vizcaya;43,3261731;-3,0075859;Anaiak;;Bilbao;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipPdz_eJs5loCwngtofgnCzZpFCI08RR-fjfDYgc
12971;Madrid;Madrid;40,4167458;-3,7101814;Anticafé;Calle de la Unión 2;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh
