;CA;PROVINCIA;LATITUD;LONGITUD;NOMBRE_LOCAL;DIRECCION;CIUDAD;TIPO;SECTOR;CONTACTO_EMPRESA;EMAIL;TELEFONO;FAKE_ACCESS;ACUM_VERDE;ACUM_AMARILLO;ACUM_ROJO;VALORACIONES;CERTIFICACION;IMAGEN;
4120;Cataluña;Barcelona;414.281.914;21.757.408;Cotxeres;;Barcelona;pub;hostelería;;41.4265862581753, 2.176213594604841;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
18949;Andalucía;Málaga;36.723.189;-44.190.995;Green Iguana Bar;Calle Ramón Franquelo 8;Málaga;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
12131;Madrid;Madrid;404.276.032;-36.963.292;Cafetería Santander;;Madrid;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
20534;Andalucía;Sevilla;373.932.044;-60.020.184;Bar restaurante la Gallega;;Sevilla;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
18067;Valencia;Valencia;394.458.878;-0.3893134;Barrilito;;Valencia;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
16126;País Vasco;Vizcaya;4.326.511;-29.437.959;Cervecería Mugarri;;Bilbao;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
4518;Cataluña;Barcelona;413.770.183;21.352.388;El Racó de la Xemenea;Carrer del Miracle 50-52;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
18966;Andalucía;Málaga;367.211.582;-44.215.087;Café Central;Plaza de la Constitución 11;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
12978;Madrid;Madrid;404.193.676;-3.703.326;OVNI;Calle de la Salud 13;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
20676;Andalucía;Sevilla;37.392.956;-59.990.458;Bodegon Alfonso XII;NO STREET 33;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
