tipo,lat,lon,name,address,location
restaurant,40.428732,-3.7020018,Café Comercial,Glorieta de Bilbao 7,Madrid
restaurant,40.4245836,-3.709622,Rey de Tallarines,Plaza del Conde de Toreno 2,Madrid
restaurant,40.4257624,-3.7120848,La Parrilla de Nino,Plaza de Cristino Martos 2,Madrid
restaurant,40.42514,-3.7118533,Delhi,Calle del Duque de Osuna 6,Madrid
restaurant,40.4260327,-3.711541,La Pomarada,Calle del Conde Duque 9999,Madrid
restaurant,40.4252476,-3.6963836,Sexto,Calle de Fernando VI 6,Madrid
restaurant,40.4162327,-3.7088498,Brasa y Leña,Plaza del Comandante Las Morenas 3,Madrid
restaurant,40.4116272,-3.7102277,El Viajero,Plaza de la Cebada 11,Madrid
restaurant,40.412068,-3.7105933,Que trabaje Rita,NO STREET 9999,Madrid
restaurant,40.4128259,-3.7114212,Vanila,NO STREET 9999,Madrid
restaurant,40.4128962,-3.7114087,Naïa,NO STREET 9999,Madrid
restaurant,40.4130139,-3.7113877,El Cosaco,NO STREET 9999,Madrid
restaurant,40.4130894,-3.7117933,El Estragón Taberna,NO STREET 9999,Madrid
restaurant,40.4131593,-3.7117469,Tío Timón,Costanilla de San Andrés 8,Madrid
restaurant,40.4137154,-3.7127335,Taquería del Alamillo,NO STREET 9999,Madrid
restaurant,40.485413,-3.6852544,Casa Ginés,NO STREET 9999,Madrid
restaurant,40.4857882,-3.6926733,Mesón Gallego,NO STREET 9999,Madrid
restaurant,40.4855645,-3.6920333,Queen Burger Gourmet,Calle de San Modesto 34,Madrid
restaurant,40.4862924,-3.6924531,tele-bocata,NO STREET 9999,Madrid
restaurant,40.4843585,-3.6868649,NO NAME,NO STREET 9999,Madrid
restaurant,40.4844368,-3.6870451,NO NAME,NO STREET 9999,Madrid
restaurant,40.485544,-3.6895993,Casa Mouriño,NO STREET 9999,Madrid
restaurant,40.4856113,-3.6897672,Cafetería Jeymon,NO STREET 9999,Madrid
restaurant,40.4850901,-3.6847127,NO NAME,NO STREET 9999,Madrid
restaurant,40.4468248,-3.714308,Taberna la Tortuga,NO STREET 9999,Madrid
restaurant,40.4867692,-3.6892092,Taberna Restaurante Txamizo,NO STREET 9999,Madrid
restaurant,40.4854963,-3.6895029,Restaurante Fereva,NO STREET 9999,Madrid
restaurant,40.4486523,-3.7297735,Cafetería y comidas,NO STREET 9999,Madrid
restaurant,40.4115676,-3.6978097,Fuente de la Fama,NO STREET 9999,Madrid
restaurant,40.4111028,-3.6957181,A Cañada,NO STREET 9999,Madrid
