tipo,lat,lon,name,address,location
restaurant,36.6658659,-4.4646231,Frascati,Calle Rogelio Oliva 29,Málaga
restaurant,36.7241869,-4.4211525,El Apartamento,Calle Carretería 92,Málaga
restaurant,36.720385,-4.4219753,Beluga,Plaza de Las Flores 3,Málaga
restaurant,36.6779007,-4.4920644,NO NAME,NO STREET 9999,Málaga
restaurant,36.7221131,-4.416876,El Vegetariano de Alcazabilla,Calle Pozo del Rey 5,Málaga
restaurant,36.6742292,-4.4843532,Restaurante Los Bravos,Calle Argonautas 9999,Málaga
restaurant,36.6753983,-4.4875202,NO NAME,NO STREET 9999,Málaga
restaurant,36.6642406,-4.4614229,Tick Tack Arrocería,Calle Rogelio Oliva 15,Málaga
restaurant,36.7223073,-4.4206242,Pepa y Pepe,NO STREET 9999,Málaga
restaurant,36.7221926,-4.42066,Taberna Matahambre,NO STREET 9999,Málaga
restaurant,36.7236525,-4.4203611,El Beato,NO STREET 9999,Málaga
restaurant,36.7222345,-4.4192671,Clandestino,NO STREET 9999,Málaga
restaurant,36.7218492,-4.4172764,La Plaza,Calle Alcazabilla 7,Málaga
restaurant,36.6923413,-4.4408775,Pedro,Paseo Marítimo Antonio Banderas 22,Málaga
restaurant,36.6897788,-4.4423937,Bellavista Mare,Paseo Marítimo Antonio Banderas 28,Málaga
restaurant,36.6903106,-4.4452194,El Pavo Real,NO STREET 9999,Málaga
restaurant,36.7172731,-4.4629871,MataHambre,NO STREET 9999,Málaga
restaurant,36.7361506,-4.4747962,Amador,NO STREET 9999,Málaga
restaurant,36.7152678,-4.4142366,Bodegas quintapenas,NO STREET 9999,Málaga
restaurant,36.715174,-4.4143981,Muelle 16,NO STREET 9999,Málaga
restaurant,36.7240319,-4.4198565,El Mesón de Cervantes,NO STREET 9999,Málaga
restaurant,36.7239894,-4.4194943,La Romantica,NO STREET 9999,Málaga
restaurant,36.7239539,-4.4193094,Tapeo de Cervantes,Calle Cárcer 8,Málaga
restaurant,36.7237883,-4.4197485,Taperia de Sybaris,NO STREET 9999,Málaga
restaurant,36.7191054,-4.422576,La Aldea,Calle Esparteros 5,Málaga
restaurant,36.7192743,-4.4220503,Mesón Lo Güeno,Calle Marín García 9,Málaga
restaurant,36.7197563,-4.4209394,Strachan,Calle Strachan 5,Málaga
restaurant,36.7196308,-4.4209509,Gorki,Calle Strachan 6,Málaga
restaurant,36.7224552,-4.4169854,Agora,Calle Alcazabilla 14,Málaga
restaurant,36.7226447,-4.4172415,Sushi King,Plaza María Guerrero 5,Málaga
restaurant,36.7228577,-4.4177425,Lechuga,Plaza de la Merced 1,Málaga
restaurant,36.722825,-4.4176746,Cortijo de Pepe,NO STREET 9999,Málaga
restaurant,36.7230553,-4.41825,King,NO STREET 9999,Málaga
restaurant,36.7229865,-4.4180515,Lorenzo Trattoria,NO STREET 9999,Málaga
restaurant,36.7233434,-4.4182125,Citron,NO STREET 9999,Málaga
restaurant,36.7238424,-4.4173713,Restaurante Ispaña,Plaza de la Merced 17,Málaga
restaurant,36.7237403,-4.4172126,La Plaza,Plaza de la Merced 18,Málaga
restaurant,36.7234635,-4.4167849,Canadu,Plaza de la Merced 21,Málaga
restaurant,36.723693,-4.419565,Noviembre,Calle Álamos 18,Málaga
restaurant,36.7241315,-4.4188847,La Brocheteria,NO STREET 9999,Málaga
restaurant,36.722821,-4.4205957,Udon,Calle Méndez Núñez 5,Málaga
restaurant,36.7217242,-4.4214728,Pepa Y Pepe,NO STREET 9999,Málaga
restaurant,36.722692,-4.4227066,El Calafate,NO STREET 9999,Málaga
restaurant,36.7228683,-4.4229319,La Casa del Perro,NO STREET 9999,Málaga
restaurant,36.7189726,-4.4229032,La Cueva de 1900,Calle de Alarcón Luján 1,Málaga
restaurant,36.718528,-4.422206,La Cueva de 1900,Calle Martínez 9,Málaga
restaurant,36.7186393,-4.4209363,Los Mellizos,NO STREET 9999,Málaga
restaurant,36.7188113,-4.4209792,Marisqueria Los Mellizos,NO STREET 9999,Málaga
restaurant,36.7194026,-4.4209443,La Dehesa,NO STREET 9999,Málaga
restaurant,36.7194241,-4.4206305,El Rescoldo,NO STREET 9999,Málaga
restaurant,36.719408,-4.4204803,La Barra,NO STREET 9999,Málaga
restaurant,36.7193769,-4.4202236,Dgustar,NO STREET 9999,Málaga
restaurant,36.7192542,-4.4202389,El Café de Bolsa,NO STREET 9999,Málaga
restaurant,36.7192757,-4.4204159,La Reserva,NO STREET 9999,Málaga
restaurant,36.7197063,-4.4207526,Pastrani,NO STREET 9999,Málaga
restaurant,36.7195914,-4.4205585,Mesón La Cepa,NO STREET 9999,Málaga
restaurant,36.7195953,-4.4204718,Lo Gueno,NO STREET 9999,Málaga
restaurant,36.7187481,-4.4220386,La Taberna del Pintxo,Calle de Alarcón Luján 12,Málaga
restaurant,36.7192392,-4.3616109,Gabi,Calle Quitapenas 73,Málaga
restaurant,36.719142,-4.3607782,Restaurante Hija de Antoñín,Calle Quitapenas 93,Málaga
restaurant,36.7192436,-4.3632708,El Zagal,Calle Quitapenas 23,Málaga
restaurant,36.719235,-4.3629421,Bar Merendero Los Marineros,Calle Quitapenas 31,Málaga
restaurant,36.7197755,-4.3679776,El Rompeolas,Paseo Marítimo El Pedregal 89,Málaga
restaurant,36.7142113,-4.4372539,Astorga,NO STREET 9999,Málaga
restaurant,36.7494475,-4.4207648,Casa Anita,NO STREET 9999,Málaga
restaurant,36.6996931,-4.4470278,El Horno,NO STREET 9999,Málaga
restaurant,36.716374,-4.4306059,Cueva del Camborio,Avenida de la Aurora 18,Málaga
restaurant,36.7225473,-4.4199726,Mariano,Calle Granados 2,Málaga
restaurant,36.6908062,-4.4476963,La Taberna,NO STREET 9999,Málaga
restaurant,36.6673726,-4.4734359,Mesón El Pollo del Tío Paco,Calle Londres 6,Málaga
restaurant,36.7203776,-4.3621698,El Cobertizo,Avenida Pío Baroja 25,Málaga
restaurant,36.6867052,-4.4521706,Agustín,Avenida Molière 25,Málaga
restaurant,36.70187,-4.4450318,Arlandis,NO STREET 9999,Málaga
restaurant,36.7049233,-4.435562,El Almirez,Calle Río Rocio 8,Málaga
restaurant,36.7173336,-4.4555383,Mesón Alvaluz,Calle Stendhal 7,Málaga
restaurant,36.7208758,-4.420272,El Trasiego,NO STREET 9999,Málaga
restaurant,36.7211231,-4.4202173,La Rebana,NO STREET 9999,Málaga
restaurant,36.714484,-4.4364431,Los Geranios,NO STREET 9999,Málaga
restaurant,36.7145228,-4.4271488,La Colmena,Calle Cuarteles 15,Málaga
restaurant,36.7152945,-4.4225756,La Rambla,Calle Tomás Heredia 23,Málaga
restaurant,36.7153997,-4.4231825,Mesón Gallego,Calle Martínez Campos 9,Málaga
restaurant,36.7198426,-4.4185669,El Huesca,Calle Cañón 13,Málaga
restaurant,36.71705,-4.42181,Luciano,NO STREET 9999,Málaga
restaurant,36.7190225,-4.4211346,Cerveceria La Goyesca,NO STREET 9999,Málaga
restaurant,36.728337,-4.4131986,Er Compa,NO STREET 9999,Málaga
restaurant,36.7196,-4.4203651,La Cepa,NO STREET 9999,Málaga
restaurant,36.7201767,-4.4186357,Rincón Catedral,NO STREET 9999,Málaga
restaurant,36.7205322,-4.4357511,Los Cazadores,Calle Santa Elena 15,Málaga
restaurant,36.72057,-4.423,Antonio,Calle Fernando de Lesseps 5,Málaga
restaurant,36.7233401,-4.4212433,54,NO STREET 9999,Málaga
restaurant,36.7235378,-4.42351,Rias Baixas,NO STREET 9999,Málaga
restaurant,36.7329942,-4.429392,Los Robles de León,Avenida Luis Buñuel 7,Málaga
restaurant,36.7349194,-4.480809,El Tomellar,Calle Nísperos 12,Málaga
restaurant,36.7217336,-4.4201231,Noodles,NO STREET 9999,Málaga
