,Usuario,Local,fecha,semaforo,comentario,add_loc_cert,add_loc_localidad,add_loc_cat,add_loc_sect,add_usu_disc,add_usu_pordisc
0,149,1,16/6/2021,V,,N,Madrid,cafe,hostelería,cognitiva,57.0
1,330,1,21/7/2021,V,,N,Madrid,cafe,hostelería,cognitiva,61.0
2,692,2,1/6/2021,V,,N,Málaga,cafe,hostelería,visual,84.0
3,398,2,15/6/2021,V,,N,Málaga,cafe,hostelería,orgánica,19.0
4,950,2,13/7/2021,A,Perfecto,N,Málaga,cafe,hostelería,motora,86.0
5,29,2,27/6/2021,A,,N,Málaga,cafe,hostelería,ninguna,0.0
6,870,2,28/5/2021,A,,N,Málaga,cafe,hostelería,auditiva,31.0
7,528,2,25/5/2021,A,,N,Málaga,cafe,hostelería,auditiva,39.0
8,581,2,7/6/2021,A,,N,Málaga,cafe,hostelería,visual,38.0
9,118,2,3/7/2021,A,,N,Málaga,cafe,hostelería,cognitiva,38.0
10,809,2,29/6/2021,A,,N,Málaga,cafe,hostelería,motora,80.0
11,10,2,29/6/2021,A,,N,Málaga,cafe,hostelería,visual,37.0
12,356,2,15/7/2021,A,,N,Málaga,cafe,hostelería,motora,46.0
13,165,2,8/6/2021,A,,N,Málaga,cafe,hostelería,orgánica,36.0
14,61,2,8/7/2021,R,,N,Málaga,cafe,hostelería,cognitiva,34.0
15,680,2,11/6/2021,R,,N,Málaga,cafe,hostelería,ninguna,0.0
16,817,3,27/6/2021,V,"En primer lugar, decir que el trato fue maravilloso. Tuve un infortunio pero me ayudaron y el trato en ello fue fenomenal! Volveré seguro, porque hice allá­ buenos amigos.",Y,Málaga,bar,hostelería,auditiva,30.0
17,465,3,21/7/2021,V,,Y,Málaga,bar,hostelería,cognitiva,17.0
18,324,3,16/7/2021,V,"Sorprendida por la accesibilidad con la que cuenta el sitio. Un sitio recomendable para ir habitualmente, si tienes movilidad muy reducida.",Y,Málaga,bar,hostelería,orgánica,41.0
19,542,3,29/6/2021,V,,Y,Málaga,bar,hostelería,orgánica,41.0
20,587,3,7/6/2021,V,,Y,Málaga,bar,hostelería,visual,55.0
21,631,3,16/6/2021,V,,Y,Málaga,bar,hostelería,cognitiva,71.0
